City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,tsiombe,-25.3,45.4833,23.36,84,79,5.01,MG,1703025554
1,yellowknife,62.456,-114.3525,-22.47,84,75,4.63,CA,1703025554
2,edinburgh of the seven seas,-37.0676,-12.3116,16.61,92,88,8.51,SH,1703025554
3,imbituba,-28.24,-48.6703,23.61,89,20,5.54,BR,1703025406
4,ciudad pemex,17.9,-92.5,23.34,83,24,2.31,MX,1703025554
5,grytviken,-54.2811,-36.5092,5.0,84,98,6.16,GS,1703025554
6,bredasdorp,-34.5322,20.0403,15.9,84,7,1.08,ZA,1703025554
7,la'ie,21.6477,-157.9253,26.98,76,100,10.32,US,1703025554
8,tiksi,71.6872,128.8694,-17.37,86,100,5.09,RU,1703025554
9,puerto natales,-51.7236,-72.4875,15.76,68,27,2.69,CL,1703025554
10,cabo san lucas,22.8909,-109.9124,28.17,50,0,6.17,MX,1703025271
11,invercargill,-46.4,168.35,18.19,78,100,2.64,NZ,1703025554
12,camana,-16.6228,-72.7111,21.84,81,64,4.0,PE,1703025555
13,port-aux-francais,-49.35,70.2167,5.12,77,43,13.26,TF,1703025555
14,east london,-33.0153,27.9116,20.88,87,57,6.7,ZA,1703025555
15,saipan,15.1355,145.701,27.39,74,20,5.66,MP,1703025555
16,waitangi,-43.9535,-176.5597,14.41,91,18,5.29,NZ,1703025555
17,sinabang,2.4803,96.3801,26.26,82,99,0.36,ID,1703025555
18,arauco,-37.2463,-73.3175,14.07,82,44,1.83,CL,1703025555
19,bethel,41.3712,-73.414,3.63,64,100,4.12,US,1703025425
20,kalabo,-14.97,22.6814,21.09,91,98,2.04,ZM,1703025555
21,bilibino,68.0546,166.4372,-38.0,100,100,0.37,RU,1703025555
22,hermanus,-34.4187,19.2345,15.45,82,1,3.12,ZA,1703025555
23,port mathurin,-19.6833,63.4167,26.4,82,100,7.41,MU,1703025555
24,longyearbyen,78.2186,15.6401,-7.09,63,0,8.23,SJ,1703025555
25,sitka,57.0531,-135.33,1.94,75,40,0.0,US,1703025555
26,pervomayskoye,43.919,46.7102,4.82,87,8,2.53,RU,1703025555
27,alo,7.4178,6.7371,27.24,38,52,0.6,NG,1703025556
28,tazovsky,67.4667,78.7,-13.2,92,100,9.12,RU,1703025556
29,tadine,-21.55,167.8833,27.2,74,60,1.73,NC,1703025556
30,acarau,-2.8856,-40.12,26.6,83,100,4.69,BR,1703025428
31,albany,42.6001,-73.9662,-0.35,74,79,5.81,US,1703025442
32,nueva esperanza,15.2667,-87.6,22.79,97,97,1.37,HN,1703025556
33,manokwari,-0.8667,134.0833,27.16,75,100,1.68,ID,1703025556
34,sarichioi,44.95,28.85,3.12,87,0,1.03,RO,1703025556
35,el granada,37.5027,-122.4694,18.9,82,75,6.69,US,1703025556
36,nova sintra,14.8667,-24.7167,21.15,71,100,5.0,CV,1703025556
37,bikenibeu village,1.3673,173.1241,29.98,79,75,7.2,KI,1703025556
38,college,64.8569,-147.8028,-12.28,82,75,3.6,US,1703025556
39,adamstown,-25.066,-130.1015,23.03,78,99,7.21,PN,1703025556
40,walvis bay,-22.9575,14.5053,16.53,88,0,3.6,NA,1703025556
41,vadso,70.0744,29.7487,-5.91,86,99,4.12,NO,1703025556
42,greytown,-29.0642,30.5928,15.53,98,89,0.46,ZA,1703025556
43,st. john's,47.5649,-52.7093,13.15,89,75,9.26,CA,1703025556
44,jamestown,42.097,-79.2353,-0.23,86,100,3.6,US,1703025384
45,hawaiian paradise park,19.5933,-154.9731,23.91,91,100,3.09,US,1703025557
46,xinglongshan,43.9561,125.4661,-28.14,69,0,1.0,CN,1703025557
47,wailua homesteads,22.0669,-159.378,25.24,81,75,10.29,US,1703025557
48,macapa,0.0389,-51.0664,30.99,70,20,5.66,BR,1703025557
49,palmer,42.1584,-72.3287,2.75,57,75,6.69,US,1703025557
50,broken hill,-31.95,141.4333,16.73,27,0,10.24,AU,1703025557
51,iqaluit,63.7506,-68.5145,-20.15,71,75,5.66,CA,1703025557
52,chonchi,-42.6128,-73.8092,23.56,62,1,0.53,CL,1703025557
53,qaqortoq,60.7167,-46.0333,2.79,100,100,4.02,GL,1703025557
54,udachny,66.4167,112.4,-25.96,86,98,2.12,RU,1703025557
55,saint-philippe,-21.3585,55.7679,24.77,82,100,2.43,RE,1703025557
56,akureyri,65.6835,-18.0878,-5.04,63,0,2.57,IS,1703025557
57,blackmans bay,-43.0167,147.3167,15.29,72,16,0.89,AU,1703025557
58,cochin,9.9399,76.2602,24.99,85,81,2.78,IN,1703025557
59,jinchang,38.4953,102.1739,-13.19,80,1,0.63,CN,1703025558
60,kodiak,57.79,-152.4072,0.73,86,100,5.14,US,1703025558
61,bac lieu,9.285,105.7244,24.87,88,81,2.66,VN,1703025558
62,victorica,-36.2151,-65.4359,12.41,63,100,6.28,AR,1703025558
63,kirishi,59.4471,32.0205,0.02,83,41,5.77,RU,1703025558
64,west island,-12.1568,96.8225,25.99,78,75,3.6,CC,1703025558
65,nouna,12.7333,-3.8667,20.64,15,59,4.2,BF,1703025558
66,urzhar,47.093,81.6294,-5.92,97,100,1.03,KZ,1703025558
67,dogondoutchi,13.6393,4.0287,21.73,19,46,5.11,NE,1703025558
68,stanley,54.868,-1.6985,5.99,83,20,8.75,GB,1703025558
69,whitehorse,60.7161,-135.0538,-11.61,84,75,8.75,CA,1703025361
70,port lincoln,-34.7333,135.8667,15.49,59,2,7.86,AU,1703025558
71,roanoke rapids,36.4615,-77.6542,4.97,60,0,1.54,US,1703025558
72,kayangel,8.0823,134.7173,28.46,78,13,6.98,PW,1703025558
73,taltal,-25.4,-70.4833,18.96,74,22,2.74,CL,1703025558
74,ushuaia,-54.8,-68.3,13.81,67,75,7.72,AR,1703025558
75,bengkulu,-3.8004,102.2655,23.49,90,98,1.42,ID,1703025559
76,maragogi,-9.0122,-35.2225,24.36,89,100,4.18,BR,1703025559
77,puerto deseado,-47.7503,-65.8938,19.48,35,4,7.34,AR,1703025559
78,vernon,50.2581,-119.2691,5.34,90,100,0.0,CA,1703025366
79,collie,-33.3667,116.15,16.6,62,100,5.21,AU,1703025559
80,itaberaba,-12.5275,-40.3069,23.92,77,34,1.2,BR,1703025381
81,puerto baquerizo moreno,-0.9,-89.6,27.55,83,40,5.66,EC,1703025559
82,georgetown,5.4112,100.3354,25.96,87,20,2.57,MY,1703025559
83,talnakh,69.4865,88.3972,-13.77,66,100,12.74,RU,1703025559
84,yacuiba,-22.038,-63.6797,19.29,88,99,2.61,BO,1703025559
85,lensk,60.7253,114.9278,-28.07,92,96,4.65,RU,1703025559
86,magadan,59.5667,150.8,-24.73,87,59,4.66,RU,1703025559
87,nema,57.5067,50.5011,-0.19,97,100,7.92,RU,1703025559
88,mount isa,-20.7333,139.5,30.87,51,5,2.57,AU,1703025559
89,avarua,-21.2078,-159.775,26.03,73,100,4.63,CK,1703025559
90,la passe,45.5549,-0.8967,11.66,96,100,5.92,FR,1703025559
91,nuuk,64.1835,-51.7216,-3.66,93,100,8.23,GL,1703025560
92,ola,59.5833,151.2833,-25.54,89,28,4.58,RU,1703025560
93,ilulissat,69.2167,-51.1,-26.54,76,1,3.01,GL,1703025560
